"";"Kingdom";"Phylum";"Class";"Order";"Lineage";"Clade";"Tribe"
"Otu00064";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"LiUU-3-334";"LiUU-3-334_unclassified";"LiUU-3-334_unclassified";"LiUU-3-334_unclassified"
"Otu00065";"Bacteria";"Cyanobacteria";"Melainabacteria";"Obscuribacterales";"Obscuribacterales_unclassified";"";""
"Otu00066";"Bacteria";"TM6";"TM6_unclassified";"TM6_unclassified";"TM6_unclassified";"";""
"Otu00067";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Pseudomondales";"gamIII";"gamIII-A";"Acin"
"Otu00068";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"LiUU-3-334";"LiUU-3-334_unclassified";"LiUU-3-334_unclassified";"LiUU-3-334_unclassified"
"Otu00069";"Bacteria";"Proteobacteria";"Betaproteobacteria";"Burkholderiales";"betI";"betI-A";"betI-A_unclassified"
"Otu00070";"Bacteria";"Proteobacteria";"Betaproteobacteria";"Burkholderiales";"Burkholderiales_unclassified";"Burkholderiales_unclassified";"Burkholderiales_unclassified"
"Otu00071";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Gammaproteobacteria_unclassified";"Gammaproteobacteria_unclassified";"";""
"Otu00072";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Xanthomonadales";"Solimonadaceae";"";""
"Otu00073";"Bacteria";"Bacteria_unclassified";"Bacteria_unclassified";"Bacteria_unclassified";"Bacteria_unclassified";"";""
"Otu00074";"Bacteria";"Proteobacteria";"Betaproteobacteria";"Burkholderiales";"betVII";"betVII-B";"betVII-B1"
"Otu00075";"Bacteria";"Actinobacteria";"Actinobacteria";"Actinomycetales";"Actinomycetales_unclassified";"Actinomycetales_unclassified";"Actinomycetales_unclassified"
"Otu00076";"Bacteria";"Proteobacteria";"Betaproteobacteria";"Burkholderiales";"betI";"betI_unclassified";"betI_unclassified"
"Otu00077";"Bacteria";"Parcubacteria";"Parcubacteria_unclassified";"Parcubacteria_unclassified";"Parcubacteria_unclassified";"";""
"Otu00078";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Clostridiaceae_1";"Clostridium_sensu_stricto_7";""
"Otu00079";"Bacteria";"Proteobacteria";"Deltaproteobacteria";"Myxococcales";"Polyangiaceae";"";""
"Otu00080";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"alfVIII";"alfVIII_unclassified";"alfVIII_unclassified";"alfVIII_unclassified"
"Otu00081";"Bacteria";"Acidobacteria";"Acidobacteria";"Subgroup_2";"Subgroup_2_unclassified";"";""
"Otu00082";"Bacteria";"Proteobacteria";"Betaproteobacteria";"Burkholderiales";"betI";"betI-A";"betI-A_unclassified"
"Otu00083";"Bacteria";"Saccharibacteria";"Saccharibacteria_unclassified";"Saccharibacteria_unclassified";"Saccharibacteria_unclassified";"";""
"Otu00084";"Bacteria";"TM6";"TM6_unclassified";"TM6_unclassified";"TM6_unclassified";"";""
"Otu00085";"Bacteria";"Proteobacteria";"Betaproteobacteria";"Burkholderiales";"betVII";"betVII-A";"betVII-A_unclassified"
"Otu00086";"Bacteria";"Bacteria_unclassified";"Bacteria_unclassified";"Bacteria_unclassified";"Bacteria_unclassified";"";""
"Otu00087";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Gammaproteobacteria_unclassified";"Gammaproteobacteria_unclassified";"";""
"Otu00088";"Bacteria";"Cyanobacteria";"Melainabacteria";"Obscuribacterales";"Obscuribacterales_unclassified";"";""
"Otu00089";"Bacteria";"Proteobacteria";"Betaproteobacteria";"Burkholderiales";"betVII";"betVII-A";"betVII-A_unclassified"
"Otu00090";"Bacteria";"Acidobacteria";"Acidobacteria";"Acidobacteriales";"Acidobacteriaceae_";"Candidatus_Koribacter";""
"Otu00091";"Bacteria";"Bacteria_unclassified";"Bacteria_unclassified";"Bacteria_unclassified";"Bacteria_unclassified";"";""
"Otu00092";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Gammaproteobacteria_unclassified";"Gammaproteobacteria_unclassified";"";""
"Otu00093";"Bacteria";"Proteobacteria";"Betaproteobacteria";"Burkholderiales";"Burkholderiales_unclassified";"Burkholderiales_unclassified";"Burkholderiales_unclassified"
"Otu00094";"Bacteria";"Bacteroidetes";"Sphingobacteria";"Sphingobacteriales";"bacI";"bacI_unclassified";"bacI_unclassified"
"Otu00095";"Bacteria";"Candidate_division_OP3";"Candidate_division_OP3_unclassified";"Candidate_division_OP3_unclassified";"Candidate_division_OP3_unclassified";"";""
"Otu00096";"Bacteria";"Bacteria_unclassified";"Bacteria_unclassified";"Bacteria_unclassified";"Bacteria_unclassified";"";""
"Otu00097";"Bacteria";"Proteobacteria";"Betaproteobacteria";"Burkholderiales";"Burkholderiaceae";"Ralstonia";""
"Otu00098";"Bacteria";"Planctomycetes";"Planctomycetes_unclassified";"Planctomycetes_unclassified";"Planctomycetes_unclassified";"";""
"Otu00099";"Bacteria";"Bacteroidetes";"Flavobacteria";"Flavobacteriales";"bacII";"bacII-A";"bacII-A_unclassified"
"Otu00100";"Bacteria";"Acidobacteria";"Holophagae";"Holophagales";"Holophagaceae";"Holophaga";""
"Otu00101";"Bacteria";"Proteobacteria";"Betaproteobacteria";"Burkholderiales";"Burkholderiales_unclassified";"Burkholderiales_unclassified";"Burkholderiales_unclassified"
"Otu00102";"Bacteria";"Armatimonadetes";"Armatimonadetes_unclassified";"Armatimonadetes_unclassified";"Armatimonadetes_unclassified";"";""
"Otu00103";"Bacteria";"Candidate_division_OP3";"Candidate_division_OP3_unclassified";"Candidate_division_OP3_unclassified";"Candidate_division_OP3_unclassified";"";""
"Otu00104";"Bacteria";"Proteobacteria";"Betaproteobacteria";"Burkholderiales";"betI";"betI-B";"Rhodo"
"Otu00105";"Bacteria";"Bacteria_unclassified";"Bacteria_unclassified";"Bacteria_unclassified";"Bacteria_unclassified";"";""
"Otu00106";"Bacteria";"Chloroflexi";"Chloroflexi_unclassified";"Chloroflexi_unclassified";"Chloroflexi_unclassified";"";""
